country,Population,date,HighestInfectionCount,PercentPopulationInfected
Russia,145579889,2020-01-01,0,0
Japan,124997585,2020-01-01,0,0
United Kingdom,68179315,2020-01-01,0,0
China,1425179562,2020-01-01,0,0
United States,341534041,2020-01-01,0,0
Mexico,128613116,2020-01-01,0,0
India,1425423209,2020-01-01,0,0
Russia,145579889,2020-01-02,0,0
China,1425179562,2020-01-02,0,0
United Kingdom,68179315,2020-01-02,0,0
United States,341534041,2020-01-02,0,0
Mexico,128613116,2020-01-02,0,0
India,1425423209,2020-01-02,0,0
Japan,124997585,2020-01-02,0,0
India,1425423209,2020-01-03,0,0
Japan,124997585,2020-01-03,0,0
United States,341534041,2020-01-03,0,0
United Kingdom,68179315,2020-01-03,0,0
China,1425179562,2020-01-03,0,0
Russia,145579889,2020-01-03,0,0
Mexico,128613116,2020-01-03,0,0
United States,341534041,2020-01-04,0,0
China,1425179562,2020-01-04,1,7.02E-08
Russia,145579889,2020-01-04,0,0
India,1425423209,2020-01-04,0,0
Mexico,128613116,2020-01-04,0,0
United Kingdom,68179315,2020-01-04,0,0
Japan,124997585,2020-01-04,0,0
United States,341534041,2020-01-05,0,0
Mexico,128613116,2020-01-05,0,0
China,1425179562,2020-01-05,1,7.02E-08
India,1425423209,2020-01-05,0,0
Russia,145579889,2020-01-05,0,0
United Kingdom,68179315,2020-01-05,0,0
Japan,124997585,2020-01-05,0,0
India,1425423209,2020-01-06,0,0
Russia,145579889,2020-01-06,0,0
United States,341534041,2020-01-06,0,0
China,1425179562,2020-01-06,4,2.81E-07
Mexico,128613116,2020-01-06,0,0
Japan,124997585,2020-01-06,0,0
United Kingdom,68179315,2020-01-06,0,0
Russia,145579889,2020-01-07,0,0
United Kingdom,68179315,2020-01-07,0,0
India,1425423209,2020-01-07,0,0
China,1425179562,2020-01-07,4,2.81E-07
United States,341534041,2020-01-07,0,0
Mexico,128613116,2020-01-07,0,0
Japan,124997585,2020-01-07,0,0
Japan,124997585,2020-01-08,0,0
Russia,145579889,2020-01-08,0,0
India,1425423209,2020-01-08,0,0
Mexico,128613116,2020-01-08,0,0
China,1425179562,2020-01-08,4,2.81E-07
United States,341534041,2020-01-08,0,0
United Kingdom,68179315,2020-01-08,0,0
